Closure ID,Source Batch,Source Image ID,Previous Status,No-Pay Status,Manifest Action,Priority,Image Need Category,Crop / System,Subject / Process,Visible Cue / Target Cue,Existing File / Source Record,Source Type,Original Source URL,License,Commercial Use Allowed?,Modification Allowed?,Attribution Required?,Rights / Production Risk,Recommended Manuscript Treatment,Self-Photo Opportunity?,Caption / Label Action,Reason for Closure Decision,Verification Still Needed,Search Terms / Rejected Alternatives,Notes
B30_011,B26_AbioticRootSoilWater_PestLifecycle,B26_11,Conditional,Conditional,Keep only if production accepts obligations; otherwise substitute text/self-photo,High,Pest lifecycle and scouting gaps,Cucurbits / squash,Squash bug egg cluster,Eggs of Anasa tristis on squash leaf,LSE_FOUND_B26_PEST_SquashBug_EggCluster_AnasaTristis_BeatrizMoisset_CC-BY-SA-4.jpg,Wikimedia,https://commons.wikimedia.org/wiki/File:Anasa_tristis_eggs.jpg,Creative Commons Attribution-ShareAlike 4.0,Yes,Yes,Yes,ShareAlike production review needed,Conditional image; do not final-clear until ShareAlike/GFDL/caption/host mismatch/review issue is resolved.,No,Use as inset or source-confirmed reference; check print resolution.,"Image remains useful but carries ShareAlike/GFDL, host/crop mismatch, resolution, or provenance/caption review risk.",ShareAlike production review; resolution check for print size. | ShareAlike/GFDL production compatibility review required.,Anasa tristis eggs Wikimedia; squash bug eggs source-confirmed CC BY-SA | Rejected: High-resolution Coreidae egg image included separately because visual quality is better but ID confidence lower.,"ID-strong, resolution-weaker egg candidate."
B30_012,B26_AbioticRootSoilWater_PestLifecycle,B26_12,Use candidate,Use Candidate,Keep in active candidate pool — not final cleared,High,Pest lifecycle and scouting gaps,Summer squash,Squash bug nymphs,Cluster of squash bug nymphs on yellow summer squash plant,LSE_FOUND_B26_PEST_SquashBug_Nymphs_OnSummerSquash_Pollinator_CC-BY-2-5.jpg,Wikimedia,https://commons.wikimedia.org/wiki/File:Squash_bug_nymph_1736.JPG,Creative Commons Attribution 2.5,Yes,Yes,Yes,No ShareAlike if using CC BY 2.5 option,"Use existing clean image; complete final caption, alt text, factual-label, figure-numbering, and layout review.",No,Pair with egg and adult image for lifecycle context.,No-pay usable candidate carried forward because existing metadata indicates commercial-safe/public-use/CC0/CC BY/USDA-style rights and useful instructional value.,Final entomology caption review.,squash bug nymphs Anasa tristis yellow summer squash CC BY; squash bug nymph Wikimedia | Rejected: Isolated adult photos without crop context deprioritized.,Strong lifecycle/action-window photo.
B30_013,B26_AbioticRootSoilWater_PestLifecycle,B26_13,Conditional,Conditional,Keep only if production accepts obligations; otherwise substitute text/self-photo,Medium,Pest lifecycle and scouting gaps,Cucurbits / squash,Adult squash bug identification,Adult Anasa tristis on a hand/finger,LSE_FOUND_B26_PEST_SquashBug_Adult_MarginalResolution_Downtowngal_CC0.jpg,Wikimedia,https://commons.wikimedia.org/wiki/File:Squash_bug_adult.jpg,CC0 1.0,Yes,Yes,No,None identified,Conditional image; do not final-clear until ShareAlike/GFDL/caption/host mismatch/review issue is resolved.,No,Do not use as main crop-damage photo; better adult-in-crop replacement preferred.,"Image remains useful but carries ShareAlike/GFDL, host/crop mismatch, resolution, or provenance/caption review risk.",Print-resolution check; search for stronger adult crop-context photo.,adult Anasa tristis CC0; squash bug adult Wikimedia | Rejected: Stock-like adult squash bug images and unclear-rights extension photos rejected.,"Conditional due image quality/context, not rights."
B30_014,B26_AbioticRootSoilWater_PestLifecycle,B26_NS_01,No suitable found photo,Text-Only Coverage,Do not keep searching broadly; cover with text/table/confirm-by box,High,Abiotic stress and lookalikes,Vegetable crops,Heat stress progression,"leaf rolling, scorch, blossom drop progression in source-confirmed vegetable crops",,No suitable found photo,,,VERIFY,VERIFY,VERIFY,N/A,"Use conservative diagnostic text, comparison table, checklist, or existing clean substitute rather than an image.",No,"Commission, obtain permission, or leave unfilled rather than using a weak/unclear photo.","Need remains useful, but Batch 26–29 results show it is too specific, rights-locked, or not cleanly available online; no-pay policy prevents permission or paid licensing.",No photo to verify; manuscript text still requires source review.,site:commons.wikimedia.org heat stress tomato leaves; vegetable heat stress photo extension reuse; tomato heat stress leaf rolling sun scorch CC BY | Rejected: Delaware/UMD extension heat-stress references reviewed for symptom evidence but not used as direct image sources.,Gap recorded for next pass or production licensing.
B30_015,B26_AbioticRootSoilWater_PestLifecycle,B26_NS_02,No suitable found photo,Text-Only Coverage,Do not keep searching broadly; cover with text/table/confirm-by box,High,Abiotic stress and lookalikes,Tomato / vegetables,Herbicide drift injury,"cupped, twisted, strapped new growth from 2,4-D/dicamba/glyphosate-type exposure",,No suitable found photo,,,VERIFY,VERIFY,VERIFY,N/A,"Use conservative diagnostic text, comparison table, checklist, or existing clean substitute rather than an image.",No,"Commission, obtain permission, or leave unfilled rather than using a weak/unclear photo.","Need remains useful, but Batch 26–29 results show it is too specific, rights-locked, or not cleanly available online; no-pay policy prevents permission or paid licensing.",No photo to verify; manuscript text still requires source review.,"tomato herbicide drift symptom photo extension; UADA herbicide injury image database tomato 2,4-D; glyphosate injury tomato Bugwood | Rejected: UADA image database states photos not copyrighted, but direct S3 asset links failed/expired; hold for manual retrieval/permission.",Gap recorded for next pass or production licensing.
B30_016,B26_AbioticRootSoilWater_PestLifecycle,B26_NS_03,No suitable found photo,Self-Photo Opportunity,Add to self-photo shot list; leave unfilled for now,High,Abiotic stress and lookalikes,Vegetables / containers,Salt or fertilizer burn,leaf-edge scorch or salt-stress injury in a source-confirmed vegetable/container crop,,No suitable found photo,,,VERIFY,VERIFY,VERIFY,N/A,Photograph locally later with real North Texas setup or root/soil condition; otherwise cover with text/checklist.,Yes,"Commission, obtain permission, or leave unfilled rather than using a weak/unclear photo.","No clean found photo was located, but the subject can realistically be photographed later without paying or licensing.","Future self-photo must document crop/system, visible cue, date/location context, and caption-safe diagnosis.","fertilizer burn vegetable leaves CC BY; salt burn vegetable container photo extension; leaf scorch fertilizer burn vegetables image rights | Rejected: Maryland Extension fertilizer/pesticide burn page reviewed for symptom language, not used as image source.",Gap recorded for next pass or production licensing.
B30_017,B26_AbioticRootSoilWater_PestLifecycle,B26_NS_04,No suitable found photo,Self-Photo Opportunity,Add to self-photo shot list; leave unfilled for now,High,Root and hidden-cause diagnostics,Vegetable containers / raised beds,Waterlogging / anaerobic roots,"waterlogged root system, root death, yellowing/wilt cue with source confirmation",,No suitable found photo,,,VERIFY,VERIFY,VERIFY,N/A,Photograph locally later with real North Texas setup or root/soil condition; otherwise cover with text/checklist.,Yes,"Commission, obtain permission, or leave unfilled rather than using a weak/unclear photo.","No clean found photo was located, but the subject can realistically be photographed later without paying or licensing.","Future self-photo must document crop/system, visible cue, date/location context, and caption-safe diagnosis.",waterlogged roots vegetable photo extension; anaerobic roots tomato container photo; overwatered vegetable roots CC BY | Rejected: Purdue waterlogging article reviewed for symptom evidence but not a reusable image source.,Gap recorded for next pass or production licensing.
B30_018,B26_AbioticRootSoilWater_PestLifecycle,B26_NS_05,No suitable found photo,Text-Only Coverage,Do not keep searching broadly; cover with text/table/confirm-by box,High,Root and hidden-cause diagnostics,Vegetable seedlings,Damping-off,"collapsed seedling at soil line in vegetable crop, source-confirmed pathogen/process",,No suitable found photo,,,VERIFY,VERIFY,VERIFY,N/A,"Use conservative diagnostic text, comparison table, checklist, or existing clean substitute rather than an image.",No,"Commission, obtain permission, or leave unfilled rather than using a weak/unclear photo.","Need remains useful, but Batch 26–29 results show it is too specific, rights-locked, or not cleanly available online; no-pay policy prevents permission or paid licensing.",No photo to verify; manuscript text still requires source review.,damping off vegetable seedlings image CC BY; site:commons.wikimedia.org damping off seedlings; Pythium damping off vegetable photo | Rejected: Non-vegetable “possibly damping off” images rejected due diagnostic uncertainty.,Gap recorded for next pass or production licensing.
B30_019,B26_AbioticRootSoilWater_PestLifecycle,B26_NS_06,No suitable found photo,Text-Only Coverage,Do not keep searching broadly; cover with text/table/confirm-by box,High,Root and hidden-cause diagnostics,Tomato / pepper,Vascular wilt stem cross-section,"brown vascular discoloration in split tomato or pepper stem, source-confirmed Fusarium/Verticillium",,No suitable found photo,,,VERIFY,VERIFY,VERIFY,N/A,"Use conservative diagnostic text, comparison table, checklist, or existing clean substitute rather than an image.",No,"Commission, obtain permission, or leave unfilled rather than using a weak/unclear photo.","Need remains useful, but Batch 26–29 results show it is too specific, rights-locked, or not cleanly available online; no-pay policy prevents permission or paid licensing.",No photo to verify; manuscript text still requires source review.,tomato Fusarium wilt stem vascular browning image CC BY; Verticillium wilt tomato stem cross-section rights; split stem vascular discoloration tomato extension photo | Rejected: Extension pages useful for symptom descriptions but image rights unclear.,Gap recorded for next pass or production licensing.
B30_020,B26_AbioticRootSoilWater_PestLifecycle,B26_NS_07,No suitable found photo,Text-Only Coverage,Do not keep searching broadly; cover with text/table/confirm-by box,High,Pest lifecycle and scouting gaps,Cowpea / southern pea,Cowpea curculio pod damage / larva inside pod,"adult puncture, damaged pod/peas, larva inside pod",,No suitable found photo,,,VERIFY,VERIFY,VERIFY,N/A,"Use conservative diagnostic text, comparison table, checklist, or existing clean substitute rather than an image.",No,"Commission, obtain permission, or leave unfilled rather than using a weak/unclear photo.","Need remains useful, but Batch 26–29 results show it is too specific, rights-locked, or not cleanly available online; no-pay policy prevents permission or paid licensing.",No photo to verify; manuscript text still requires source review.,cowpea curculio pod damage Bugwood; cowpea curculio larva in pod image; southern pea curculio damage CC BY | Rejected: UGA/NC State/IPMImages leads reviewed; exact per-image rights and downloads remain unresolved.,Gap recorded for next pass or production licensing.
B30_021,B26_AbioticRootSoilWater_PestLifecycle,B26_NS_08,No suitable found photo,Text-Only Coverage,Do not keep searching broadly; cover with text/table/confirm-by box,High,Pest lifecycle and scouting gaps,Okra,Stink bug / leaffooted bug pod injury,"warted, curled, misshapen okra pod from feeding, source-confirmed",,No suitable found photo,,,VERIFY,VERIFY,VERIFY,N/A,"Use conservative diagnostic text, comparison table, checklist, or existing clean substitute rather than an image.",Yes,"Commission, obtain permission, or leave unfilled rather than using a weak/unclear photo.","Need remains useful, but Batch 26–29 results show it is too specific, rights-locked, or not cleanly available online; no-pay policy prevents permission or paid licensing.",No photo to verify; manuscript text still requires source review.,okra leaffooted bug pod injury photo; stink bug damage okra pods extension; okra warted pods leaffooted bug | Rejected: NC State pest text reviewed for symptom description but not used as image source.,Gap recorded for next pass or production licensing.
B30_022,Batch27_HardGap_DriftRootCrownPestExclusion,B27_01,Conditional,Conditional,Keep only if production accepts obligations; otherwise substitute text/self-photo,High,Abiotic stress and lookalikes,Tomato,"2,4-D / growth-regulator herbicide drift injury","Cupped, curled tomato leaves associated with non-lethal 2,4-D drift.",LSE_FOUND_B27_ABIOTIC_Tomato_2-4DDrift_CuppedNewGrowth_MaryAnnHansen-Bugwood_CONDITIONAL.jpg,Extension / Bugwood-linked,https://www.canr.msu.edu/news/protecting-tomatoes-from-herbicide-drift,CC BY [VERIFY exact Bugwood page] 3.0 US [VERIFY],VERIFY,VERIFY,Yes if CC BY is confirmed,No known SA/GFDL/NC/ND if CC BY confirmed,Conditional image; do not final-clear until ShareAlike/GFDL/caption/host mismatch/review issue is resolved.,No,Do not overdiagnose; require exposure history and pattern across the planting.,"Image remains useful but carries ShareAlike/GFDL, host/crop mismatch, resolution, or provenance/caption review risk.","Open exact Bugwood/Invasive image 5333084 record and confirm license, creator, commercial use, and modification permissions. | ShareAlike/GFDL production compatibility review required.","tomato 2,4-D damage Bugwood 5333084; tomato herbicide drift MSU Mary Ann Hansen | Rejected: NC State PPO/flumioxazin images rejected due NC license; UK/Mississippi images held due unclear rights.",Direct MSU derivative image downloaded for review only.
B30_023,Batch27_HardGap_DriftRootCrownPestExclusion,B27_02,Hold,Reject — Rights,Move out of active candidate pool under no-pay workflow,High,Abiotic stress and lookalikes,Tomato,Glyphosate injury,Yellow/distorted new growth associated with glyphosate injury.,LSE_FOUND_B27_ABIOTIC_Tomato_GlyphosateInjury_YellowDistortedNewGrowth_NathanHoward-Bugwood_VERIFY.jpg,Extension / Bugwood-linked,https://www.canr.msu.edu/news/protecting-tomatoes-from-herbicide-drift,VERIFY VERIFY,VERIFY,VERIFY,VERIFY,VERIFY,"Do not use image. Cover in text, use an existing clean substitute, or self-photograph later if practical.",No,Do not diagnose glyphosate from yellowing alone; require exposure pattern/history.,"Prior status was Hold due to permission, unclear source, unclear commercial use, unclear modification rights, or unresolved ID; no outreach/no-pay rule makes it unusable.",No further permission outreach under current policy; keep source note only for future optional licensing.,tomato glyphosate injury Nathan Howard Bugwood 5368741; tomato glyphosate injury MSU | Rejected: General glyphosate weed images rejected as not vegetable-specific.,Downloaded from MSU page for review; not production-cleared.
B30_024,Batch27_HardGap_DriftRootCrownPestExclusion,B27_03,Hold,Reject — Rights,Move out of active candidate pool under no-pay workflow,High,Abiotic stress and lookalikes,Tomato,"2,4-D injury / herbicide drift","Twisted, curling tomato shoot with severe growth-regulator injury pattern.",LSE_FOUND_B27_ABIOTIC_Tomato_2-4DInjury_TwistedCurlingShoot_PBacchi-Bugwood_VERIFY.png,Extension / Bugwood-linked,https://extension.msstate.edu/newsletters/bug%E2%80%99s-eye-view/2024/tomato-troubles-vol-10-no-07,VERIFY VERIFY,VERIFY,VERIFY,VERIFY,VERIFY,"Do not use image. Cover in text, use an existing clean substitute, or self-photograph later if practical.",No,"Use as drift pattern cue, not definitive diagnosis.","Prior status was Hold due to permission, unclear source, unclear commercial use, unclear modification rights, or unresolved ID; no outreach/no-pay rule makes it unusable.",No further permission outreach under current policy; keep source note only for future optional licensing.,"P. Bacchi 2,4-D injury tomato Bugwood; Mississippi State tomato troubles 2,4-D injury | Rejected: NC BY-NC-SA PPO herbicide images rejected.",Good comparison candidate if rights can be cleared.
B30_025,Batch27_HardGap_DriftRootCrownPestExclusion,B27_04,Hold,Reject — Rights,Move out of active candidate pool under no-pay workflow,High,Root and soilborne diagnostics,Tomato,Fusarium wilt vascular browning,Split tomato stem with longitudinal light-brown vascular streaking near the base.,LSE_FOUND_B27_ROOTS_Tomato_FusariumWilt_VascularBrowningStemSplit_NCSU-IngaMeadows_VERIFY.jpg,Extension,https://content.ces.ncsu.edu/fusarium-wilt-of-tomato,VERIFY VERIFY,VERIFY,VERIFY,VERIFY,VERIFY,"Do not use image. Cover in text, use an existing clean substitute, or self-photograph later if practical.",No,Do not imply all vascular browning is Fusarium; include lookalikes such as Verticillium and bacterial wilt.,"Prior status was Hold due to permission, unclear source, unclear commercial use, unclear modification rights, or unresolved ID; no outreach/no-pay rule makes it unusable.",No further permission outreach under current policy; keep source note only for future optional licensing.,tomato Fusarium wilt vascular browning stem split extension photo; Inga Meadows Fusarium wilt tomato vascular streaks | Rejected: Bugwood/UK copies found but rights not cleaner.,Strong priority permission candidate.
B30_026,Batch27_HardGap_DriftRootCrownPestExclusion,B27_05,Hold,Reject — Rights,Move out of active candidate pool under no-pay workflow,High,Root and soilborne diagnostics,Pepper seedlings,Damping-off / Fusarium stem canker,Pepper seedling rotting/cankered at ground level.,LSE_FOUND_B27_ROOTS_Pepper_DampingOff_StemCankerSoilLine_UMass-TSmith_VERIFY.jpg,Extension,https://www.umass.edu/agriculture-food-environment/greenhouse-floriculture/photos/pepper-seedling-damping-fusarium,VERIFY VERIFY,VERIFY,VERIFY,VERIFY,VERIFY,"Do not use image. Cover in text, use an existing clean substitute, or self-photograph later if practical.",No,Damping-off has multiple causal organisms; avoid naming Fusarium as sole cause unless source-specific.,"Prior status was Hold due to permission, unclear source, unclear commercial use, unclear modification rights, or unresolved ID; no outreach/no-pay rule makes it unusable.",No further permission outreach under current policy; keep source note only for future optional licensing.,vegetable seedling damping off soil line photo extension; pepper damping off Fusarium UMass | Rejected: UMN image not downloaded due unclear rights; Plantwise images not cleaner enough for production.,High-priority permission or replacement candidate.
B30_027,Batch27_HardGap_DriftRootCrownPestExclusion,B27_06,Hold,Reject — Rights,Move out of active candidate pool under no-pay workflow,High,Pest lifecycle and scouting gaps,Cowpea / southern pea,Cowpea curculio lifecycle and pod damage,Cross-sectioned cowpea pod with larva and adult inset.,LSE_FOUND_B27_PEST_Cowpea_CowpeaCurculio_PodCrossSectionLarvaAdult_UGA_VERIFY.jpg,Extension,https://fieldreport.caes.uga.edu/publications/C1038/cowpea-curculio-in-southern-pea/,VERIFY VERIFY,VERIFY,VERIFY,VERIFY,VERIFY,"Do not use image. Cover in text, use an existing clean substitute, or self-photograph later if practical.",No,Use only as UGA-source-identified cowpea curculio; do not generalize to all pod injury.,"Prior status was Hold due to permission, unclear source, unclear commercial use, unclear modification rights, or unresolved ID; no outreach/no-pay rule makes it unusable.",No further permission outreach under current policy; keep source note only for future optional licensing.,cowpea curculio pod damage larva inside pod UGA; cowpea curculio larva adult pod cross-section | Rejected: IPMImages/Invasive results found but direct records inaccessible/403 during this pass.,Probably needs permission or Bugwood/IPMImages original with compatible license.
